"att1","att2","att3","att4","att5","att6","att7","att8","att9","outlier"
51,23,77,0,28,0,26,48,22,"yes"
42,23,77,0,28,0,34,48,14,"yes"
42,22,77,0,28,0,35,48,14,"yes"
49,31,77,0,-22,0,28,101,72,"yes"
48,45,77,0,-22,0,29,101,72,"yes"
42,23,77,0,28,0,35,48,14,"yes"
57,92,80,0,34,0,23,46,24,"yes"
44,27,77,0,28,0,33,48,16,"yes"
49,22,79,0,42,0,30,37,8,"yes"
64,78,82,0,-42,-6,18,126,108,"yes"
47,22,79,0,42,0,31,37,6,"yes"
47,0,78,7,46,0,31,32,0,"no"
49,-3,84,0,46,-20,35,37,2,"no"
75,3,79,3,-42,0,4,123,120,"no"
37,0,80,0,6,-19,43,75,32,"no"
81,0,84,6,-14,-12,4,100,96,"no"
84,0,88,0,0,14,3,88,84,"no"
41,2,76,0,42,6,34,34,0,"no"
38,1,105,0,34,0,67,71,4,"no"
79,0,83,0,-38,0,4,122,118,"no"
55,3,79,0,54,0,25,25,0,"no"
51,0,84,0,50,-13,34,35,2,"no"
40,-4,82,0,38,-1,42,43,2,"no"
37,0,78,0,20,30,41,57,16,"no"
79,0,83,0,-32,68,4,117,112,"no"
104,2,105,4,70,0,1,35,34,"no"
40,0,80,1,38,0,40,41,2,"no"
84,-1,88,-2,-2,-8,3,90,88,"no"
41,2,86,0,38,0,45,47,2,"no"
42,5,76,0,42,0,34,35,0,"no"
56,0,77,0,-6,20,21,85,64,"no"
49,0,83,0,50,0,33,33,0,"no"
78,0,82,-4,-40,0,4,123,120,"no"
45,0,79,0,46,29,33,32,0,"no"
41,0,77,0,38,-11,36,39,2,"no"
37,0,81,-1,36,-1,44,44,0,"no"
56,0,95,-3,56,7,40,39,0,"no"
45,0,81,-2,44,-6,36,37,2,"no"
51,0,86,-2,50,-2,36,37,2,"no"
44,0,81,0,42,-11,38,40,2,"no"
54,1,80,-6,54,0,26,26,0,"no"
53,0,85,0,52,-24,32,33,2,"no"
54,2,81,2,54,0,28,27,0,"no"
45,-6,81,0,44,0,36,37,2,"no"
53,0,82,0,52,-3,29,30,2,"no"
41,0,97,0,42,15,56,55,0,"no"
45,0,78,0,46,27,33,32,0,"no"
50,-4,86,4,50,0,36,37,0,"no"
79,0,83,0,-40,-10,4,125,120,"no"
48,0,82,-1,46,0,34,35,2,"no"
55,0,86,0,56,30,31,30,0,"no"
44,2,83,0,42,-27,39,41,2,"no"
51,0,86,0,52,8,36,35,0,"no"
37,0,77,0,-24,-29,40,103,62,"no"
55,0,82,0,-36,3,26,118,92,"no"
59,0,86,1,60,13,28,27,0,"no"
37,0,76,-1,30,16,40,45,6,"no"
40,5,76,0,38,0,35,37,2,"no"
53,2,104,0,54,3,50,49,0,"no"
37,0,80,0,28,12,43,52,8,"no"
56,0,95,0,50,-24,39,46,6,"no"
47,-4,81,3,46,0,34,35,0,"no"
41,0,83,3,42,0,42,42,0,"no"
37,0,76,-1,16,4,39,61,22,"no"
41,0,87,6,38,-4,46,48,2,"no"
60,0,109,-3,60,0,49,49,0,"no"
53,0,77,-5,54,12,25,23,0,"no"
58,-3,91,0,56,0,33,34,0,"no"
55,0,93,2,8,0,37,85,48,"no"
44,-5,97,8,44,0,53,53,0,"no"
50,1,82,-2,50,0,32,33,2,"no"
37,0,76,3,28,0,40,48,8,"no"
79,0,83,0,-42,21,4,127,122,"no"
49,0,85,0,50,2,36,36,0,"no"
37,0,106,0,28,-24,69,78,8,"no"
50,1,85,0,50,0,35,36,2,"no"
47,-1,89,0,46,0,42,42,0,"no"
58,4,81,0,56,0,23,24,2,"no"
52,2,81,1,52,0,29,30,0,"no"
43,-2,89,0,42,-8,46,48,2,"no"
40,0,76,8,38,0,36,37,2,"no"
55,0,77,-2,18,0,22,59,38,"no"
37,0,81,-4,-4,0,44,86,42,"no"
55,0,79,0,54,-3,24,25,2,"no"
37,0,80,0,24,8,43,57,14,"no"
56,0,79,0,54,-8,23,24,2,"no"
41,0,89,0,38,-15,48,50,2,"no"
44,2,87,-2,44,1,43,43,0,"no"
37,0,75,7,24,22,38,52,14,"no"
48,-1,82,0,50,26,34,33,0,"no"
52,5,78,-1,52,0,26,26,0,"no"
53,1,78,0,54,2,25,24,0,"no"
53,1,82,0,54,1,29,28,0,"no"
43,0,79,2,42,-13,35,37,2,"no"
37,0,79,-2,36,-4,42,43,2,"no"
39,4,78,1,38,0,39,39,0,"no"
55,0,78,1,26,0,23,52,30,"no"
58,0,96,-2,56,0,38,39,2,"no"
43,1,76,0,42,-5,32,34,2,"no"
56,0,96,0,50,-7,40,47,6,"no"
44,-1,82,1,44,0,38,38,0,"no"
41,0,83,0,42,10,42,41,0,"no"
37,4,83,0,36,0,46,46,0,"no"
45,0,83,8,44,-3,38,39,2,"no"
51,0,84,0,50,-6,34,35,2,"no"
38,1,94,0,38,13,56,55,0,"no"
54,0,87,2,54,0,33,33,0,"no"
42,-3,88,1,42,0,45,46,2,"no"
37,0,79,0,10,29,42,68,26,"no"
49,-1,111,0,50,9,62,62,0,"no"
39,6,76,-1,38,-1,37,37,0,"no"
57,0,86,0,56,0,30,30,0,"no"
80,0,84,6,-36,29,5,121,116,"no"
37,0,83,0,28,-29,46,54,8,"no"
41,0,76,-6,42,9,34,34,0,"no"
56,5,88,0,54,-1,32,33,2,"no"
66,2,113,0,64,0,47,48,0,"no"
37,0,79,0,2,-2,43,77,34,"no"
44,3,85,0,44,15,41,41,0,"no"
58,0,86,0,56,0,27,29,2,"no"
37,0,80,7,10,9,43,70,26,"no"
55,-2,85,0,54,0,31,31,0,"no"
37,-1,79,0,36,0,43,43,0,"no"
37,0,82,8,-2,4,45,85,40,"no"
39,1,83,2,38,0,44,44,0,"no"
55,0,97,0,52,26,41,45,4,"no"
55,0,95,0,36,-30,40,59,20,"no"
46,0,79,4,46,0,33,32,0,"no"
55,0,77,0,36,5,22,41,20,"no"
39,-2,106,0,38,0,66,67,0,"no"
56,5,98,0,42,-16,42,57,14,"no"
49,0,86,0,50,17,37,37,0,"no"
39,0,83,7,38,0,44,44,0,"no"
51,0,86,0,50,-20,35,37,2,"no"
41,0,76,0,42,10,35,34,0,"no"
83,0,86,5,-2,0,4,89,86,"no"
56,0,76,0,-14,8,20,92,72,"no"
41,0,85,0,42,20,44,44,0,"no"
37,0,76,0,26,-7,40,50,10,"no"
37,-2,76,0,36,-12,38,39,2,"no"
42,1,82,0,42,0,39,41,2,"no"
44,0,76,2,42,-29,32,34,2,"no"
51,1,87,0,52,5,36,35,0,"no"
37,0,92,-3,12,0,55,79,24,"no"
37,1,109,7,26,0,71,83,12,"no"
37,0,75,0,34,-14,38,41,2,"no"
37,0,84,0,24,-1,47,61,14,"no"
51,-3,81,0,50,-8,30,32,2,"no"
44,0,95,0,42,-25,52,54,2,"no"
37,0,106,0,36,0,68,69,2,"no"
41,0,76,0,38,-2,35,37,2,"no"
52,0,78,-3,52,0,26,26,0,"no"
101,0,102,0,72,8,1,29,28,"no"
37,5,77,0,-22,16,40,101,60,"no"
56,-4,99,2,46,0,43,52,10,"no"
85,0,88,0,6,4,3,83,80,"no"
56,0,79,0,54,-22,23,24,2,"no"
38,-2,79,-1,38,0,41,40,0,"no"
37,0,76,0,36,-6,39,40,2,"no"
49,-3,107,0,46,-28,58,60,2,"no"
37,0,106,0,30,6,69,75,6,"no"
104,3,105,0,72,2,1,33,32,"no"
37,0,79,0,10,-15,43,69,26,"no"
45,0,82,0,44,-5,37,38,2,"no"
52,3,84,0,52,0,32,32,0,"no"
45,-2,79,0,46,23,33,32,0,"no"
37,3,82,0,36,0,45,46,2,"no"
56,3,96,-2,52,0,40,44,4,"no"
80,-1,84,-7,-20,0,4,105,100,"no"
77,4,81,3,-40,10,4,123,118,"no"
41,0,81,0,38,-4,40,42,2,"no"
41,5,81,0,42,13,39,39,0,"no"
51,2,79,6,52,11,27,27,0,"no"
45,0,79,2,44,-18,34,35,2,"no"
48,-5,76,-1,46,-7,28,30,2,"no"
37,0,106,0,26,21,68,80,12,"no"
41,5,81,-1,38,-23,39,42,2,"no"
38,0,79,8,38,0,41,41,0,"no"
45,0,83,0,46,11,37,36,0,"no"
37,0,81,0,10,-2,45,71,26,"no"
56,0,95,0,46,8,40,49,10,"no"
55,0,71,-1,0,0,16,71,56,"no"
56,0,92,0,52,6,36,40,4,"no"
37,0,81,0,8,-6,44,73,28,"no"
44,1,77,0,44,0,33,34,0,"no"
45,-44,77,0,-2,0,32,79,48,"no"
45,0,80,3,44,0,35,36,2,"no"
55,0,96,0,44,11,41,52,12,"no"
52,0,88,-4,52,0,35,36,0,"no"
44,1,79,0,44,0,35,35,0,"no"
41,0,83,0,42,25,42,41,0,"no"
43,0,87,0,42,-8,44,46,2,"no"
37,0,97,1,34,0,60,64,4,"no"
55,0,77,0,-30,-9,22,108,86,"no"
40,1,76,0,38,0,35,37,2,"no"
37,0,79,0,18,-21,43,61,18,"no"
37,-4,81,1,36,0,44,44,0,"no"
82,0,85,-2,-10,0,3,95,92,"no"
42,3,79,0,42,0,36,37,2,"no"
50,0,106,0,50,0,56,57,0,"no"
55,0,81,-4,-14,0,26,97,70,"no"
45,0,88,0,44,-8,43,44,2,"no"
56,0,78,0,16,28,22,63,40,"no"
44,-5,77,0,42,-12,33,35,2,"no"
53,-1,81,0,54,3,28,27,0,"no"
37,0,76,0,26,-3,39,50,12,"no"
40,-4,77,0,38,0,36,38,2,"no"
54,-1,83,0,54,0,28,28,0,"no"
37,0,76,0,38,26,38,37,0,"no"
57,1,84,-7,56,0,28,28,0,"no"
41,0,80,0,42,31,39,39,0,"no"
37,0,83,-3,18,0,47,65,18,"no"
41,0,79,0,42,0,38,38,0,"no"
38,0,92,1,16,4,54,77,22,"no"
53,0,81,0,54,7,28,26,0,"no"
52,-2,81,0,52,0,29,30,0,"no"
43,0,86,0,42,-1,42,44,2,"no"
55,0,78,-1,16,0,23,63,40,"no"
55,-3,76,0,-18,-5,21,94,74,"no"
55,0,87,8,54,0,32,33,0,"no"
48,0,79,0,50,31,31,30,0,"no"
55,0,83,0,54,-5,28,29,2,"no"
50,-2,110,2,50,0,60,61,2,"no"
39,1,97,0,38,0,58,59,0,"no"
38,1,77,3,38,0,39,38,0,"no"
85,-38,107,0,64,-3,22,42,20,"no"
51,0,84,0,52,18,33,33,0,"no"
37,0,75,0,26,11,38,49,12,"no"
63,0,112,3,62,0,49,50,0,"no"
37,0,82,0,12,7,45,69,24,"no"
55,-5,78,0,54,0,23,24,0,"no"
53,0,102,0,52,-5,49,50,2,"no"
56,0,77,0,10,7,22,67,46,"no"
42,0,82,-4,42,0,40,41,0,"no"
44,4,93,0,44,1,49,50,0,"no"
48,-1,83,-4,46,-6,35,37,2,"no"
46,5,77,0,46,2,31,31,0,"no"
44,0,83,0,44,3,39,39,0,"no"
44,0,87,-6,42,-8,43,46,2,"no"
49,4,82,0,50,1,33,33,0,"no"
51,1,87,2,52,9,36,35,0,"no"
47,0,81,-2,46,0,34,34,0,"no"
54,0,81,0,54,1,27,26,0,"no"
45,1,83,6,44,0,38,39,2,"no"
56,0,97,0,56,9,40,40,0,"no"
51,3,86,0,52,23,35,34,0,"no"
50,1,106,0,50,0,57,57,0,"no"
57,0,84,1,56,0,27,27,0,"no"
44,-4,76,-2,44,3,32,32,0,"no"
49,0,81,0,46,-23,33,35,2,"no"
46,0,81,1,46,7,35,35,0,"no"
42,1,96,0,42,0,54,55,0,"no"
37,0,81,0,28,-2,44,52,8,"no"
37,0,76,0,24,11,39,52,14,"no"
53,0,86,0,54,24,33,32,0,"no"
45,0,88,0,44,-2,43,44,2,"no"
38,0,76,-1,36,-25,38,40,2,"no"
56,3,97,0,52,0,41,45,4,"no"
41,0,79,-2,38,-14,38,40,2,"no"
49,4,82,0,50,25,33,33,0,"no"
45,1,83,0,46,30,37,36,0,"no"
37,0,86,-3,36,0,49,50,0,"no"
55,0,77,0,12,21,21,64,42,"no"
56,-3,96,0,56,9,40,39,0,"no"
37,0,83,0,2,4,46,81,34,"no"
41,0,81,-1,38,-5,40,42,2,"no"
45,0,77,0,46,12,32,31,0,"no"
40,0,84,-7,38,0,45,46,2,"no"
52,4,79,0,52,0,26,27,0,"no"
48,-3,83,0,46,0,34,36,2,"no"
37,0,81,-2,38,-5,43,42,0,"no"
81,0,84,0,-18,0,4,103,98,"no"
44,2,87,0,44,0,43,43,0,"no"
40,0,86,-7,38,0,45,47,2,"no"
42,0,82,3,42,0,39,41,2,"no"
43,0,86,2,42,0,43,45,2,"no"
55,-5,93,0,46,0,37,46,8,"no"
37,0,79,0,34,5,42,46,4,"no"
57,1,86,0,56,0,30,30,0,"no"
55,-1,78,-3,0,-10,23,78,56,"no"
49,0,85,0,46,-1,36,39,2,"no"
49,0,80,0,46,-4,31,34,2,"no"
37,0,76,0,34,-4,39,43,4,"no"
37,0,78,0,26,30,41,52,12,"no"
37,0,79,0,12,-8,43,66,24,"no"
43,0,77,0,42,-6,34,36,2,"no"
46,0,86,6,46,0,41,40,0,"no"
45,0,83,0,44,6,38,39,0,"no"
37,-23,106,-2,34,-3,69,72,4,"no"
37,0,79,-1,0,3,42,79,36,"no"
39,-1,97,0,38,0,58,59,0,"no"
41,5,89,-1,38,0,48,50,2,"no"
44,0,81,1,44,16,37,37,0,"no"
41,0,79,0,42,4,38,37,0,"no"
49,0,85,0,46,-21,36,39,2,"no"
37,0,81,0,38,11,43,42,0,"no"
56,0,96,-1,50,-3,40,47,6,"no"
56,1,87,3,56,12,31,30,0,"no"
55,0,96,0,44,-13,41,52,12,"no"
56,0,97,-1,46,-3,41,51,10,"no"
56,0,96,4,42,2,40,55,14,"no"
38,0,77,2,38,0,39,38,0,"no"
55,0,77,-1,16,-2,22,62,40,"no"
37,0,79,-3,0,0,42,79,36,"no"
38,0,76,8,38,0,38,37,0,"no"
55,0,77,3,-20,0,21,97,76,"no"
55,0,77,0,38,27,22,39,16,"no"
37,0,104,1,24,0,67,80,14,"no"
37,1,90,0,24,21,52,66,14,"no"
49,4,83,0,46,-30,34,37,2,"no"
55,0,95,0,50,-18,40,46,6,"no"
84,4,86,-2,-4,0,3,92,88,"no"
56,0,97,-4,50,0,41,48,6,"no"
37,-2,106,0,34,-8,68,72,4,"no"
55,0,80,0,-10,0,25,90,66,"no"
37,0,104,0,30,-16,67,73,6,"no"
45,0,83,1,46,17,37,36,0,"no"
37,0,97,0,24,-7,60,73,14,"no"
39,-5,76,0,38,0,37,37,0,"no"
53,0,81,4,52,-7,28,30,2,"no"
38,1,81,0,38,3,43,43,0,"no"
37,0,81,0,28,-23,45,53,8,"no"
37,0,105,1,30,-10,68,74,6,"no"
56,0,80,2,-4,0,24,85,62,"no"
56,0,97,0,42,19,41,55,14,"no"
37,-5,76,0,20,0,40,55,16,"no"
38,0,92,8,12,0,54,79,24,"no"
55,0,98,0,52,-20,42,46,4,"no"
43,0,86,-2,42,-1,43,45,2,"no"
49,0,95,0,46,-1,47,49,2,"no"
37,0,78,0,0,3,42,78,36,"no"
46,-4,80,-1,46,0,34,34,0,"no"
46,0,86,-5,46,0,40,39,0,"no"
37,0,77,0,-22,5,41,101,60,"no"
41,0,80,-1,42,1,39,39,0,"no"
48,-4,86,0,46,0,39,40,2,"no"
37,0,79,8,24,0,42,56,14,"no"
41,2,78,0,38,-21,37,39,2,"no"
40,0,87,-1,38,-2,47,48,2,"no"
37,0,103,0,20,3,66,82,16,"no"
80,0,84,0,-40,26,4,125,122,"no"
45,0,86,0,44,-1,41,42,2,"no"
37,0,80,0,38,13,43,41,0,"no"
42,4,107,5,42,0,65,66,0,"no"
56,0,96,4,46,0,40,50,10,"no"
37,0,78,0,18,-4,41,60,18,"no"
41,0,77,0,38,-17,37,39,2,"no"
45,2,108,0,44,0,63,64,2,"no"
37,0,77,0,28,-1,40,48,8,"no"
43,0,85,-1,42,0,42,44,2,"no"
37,-1,80,2,-2,0,43,83,40,"no"
47,0,95,-7,46,0,48,48,0,"no"
48,0,81,5,46,0,33,34,2,"no"
53,0,83,0,54,16,30,29,0,"no"
51,0,82,0,50,-30,31,33,2,"no"
43,0,83,-1,42,0,40,41,2,"no"
37,0,79,4,38,15,42,41,0,"no"
52,3,86,0,52,0,34,35,0,"no"
37,0,78,0,0,-2,42,78,36,"no"
45,0,90,0,44,-13,45,46,2,"no"
37,0,77,0,18,-8,40,59,18,"no"
37,0,76,-4,28,-21,39,47,8,"no"
52,2,88,0,52,-3,35,36,0,"no"
43,0,86,-4,42,0,43,45,2,"no"
37,0,75,1,24,0,38,52,14,"no"
46,2,86,-4,46,0,40,40,0,"no"
53,0,85,0,52,-21,32,33,2,"no"
43,0,86,0,44,17,43,42,0,"no"
51,1,86,0,50,-24,35,37,2,"no"
54,-2,86,-2,54,-3,32,32,0,"no"
37,0,100,-1,28,0,63,71,8,"no"
55,0,92,0,-4,30,36,97,60,"no"
41,0,79,0,42,9,38,38,0,"no"
48,0,95,0,46,-3,47,49,2,"no"
56,0,97,3,50,-11,41,48,6,"no"
44,0,75,-2,42,-23,31,34,2,"no"
56,0,95,1,44,10,40,51,12,"no"
47,-1,76,-4,46,-6,30,30,0,"no"
56,0,79,1,8,0,24,72,48,"no"
101,0,102,0,72,15,1,30,28,"no"
43,0,95,-1,42,-12,52,54,2,"no"
37,0,80,0,28,14,43,52,8,"no"
41,-2,82,0,38,-7,41,43,2,"no"
49,0,86,2,50,0,37,37,0,"no"
41,0,82,0,38,-1,41,43,2,"no"
56,0,97,5,54,0,41,42,2,"no"
56,0,95,0,44,24,40,51,12,"no"
37,0,83,0,-4,-13,46,88,42,"no"
55,0,77,0,8,-1,22,70,48,"no"
37,0,77,0,34,-26,40,43,4,"no"
55,0,76,0,-14,9,21,92,70,"no"
37,0,76,-7,20,0,39,55,16,"no"
48,5,76,0,46,0,28,29,2,"no"
45,0,76,0,44,-5,30,32,2,"no"
55,0,79,0,12,1,23,66,42,"no"
50,4,80,0,50,0,30,31,0,"no"
55,0,97,0,46,-2,42,51,8,"no"
37,0,76,0,30,31,39,45,6,"no"
41,1,88,0,38,-30,47,50,2,"no"
46,5,86,0,46,11,40,39,0,"no"
56,0,79,-6,6,-4,24,74,50,"no"
56,1,78,0,18,31,22,60,38,"no"
37,0,95,0,20,-26,58,75,16,"no"
55,0,92,-1,36,-8,37,56,20,"no"
49,-1,86,0,50,5,37,37,0,"no"
37,4,77,0,36,0,41,41,0,"no"
37,0,107,0,28,-1,70,78,8,"no"
49,0,84,0,50,23,36,35,0,"no"
55,0,95,0,42,-10,40,54,14,"no"
37,0,97,1,18,-12,60,79,18,"no"
41,-2,83,0,42,0,42,42,0,"no"
41,-5,80,0,42,6,39,39,0,"no"
37,0,82,0,-2,16,45,85,40,"no"
50,4,78,-5,50,0,28,29,2,"no"
55,0,77,-1,16,0,21,61,40,"no"
56,0,77,0,18,-18,22,59,38,"no"
37,0,80,-2,12,-7,43,67,24,"no"
37,0,76,0,24,-1,40,53,14,"no"
46,0,76,-1,46,0,29,29,0,"no"
37,0,77,0,16,-21,40,62,22,"no"
37,0,80,0,12,25,43,67,24,"no"
37,0,79,0,36,-15,41,43,2,"no"
49,0,81,0,50,-6,32,32,0,"no"
37,0,76,-1,20,-3,40,55,16,"no"
55,-3,98,0,44,-24,42,54,12,"no"
56,0,96,-5,50,0,40,47,6,"no"
41,-1,76,-1,42,0,35,35,0,"no"
37,0,79,0,10,-26,43,69,26,"no"
37,-18,106,-1,34,-3,69,72,4,"no"
44,0,83,3,44,0,38,39,0,"no"
51,0,79,6,52,4,27,27,0,"no"
52,0,79,0,52,0,26,27,0,"no"
84,-10,89,0,8,0,5,81,76,"no"
56,0,82,2,-12,6,26,95,68,"no"
56,0,97,0,46,25,41,51,10,"no"
51,0,88,0,50,-15,37,39,2,"no"
56,0,82,0,54,-6,26,28,2,"no"
36,-3,83,5,36,0,46,46,0,"no"
37,-4,83,0,36,-11,46,47,2,"no"
55,0,77,-5,-10,0,21,87,66,"no"
58,0,86,-1,56,0,28,29,0,"no"
43,0,81,0,44,29,38,37,0,"no"
56,-4,99,0,46,-7,43,52,10,"no"
56,0,76,0,-10,4,20,86,66,"no"
37,0,76,-3,24,8,39,52,14,"no"
55,-3,98,1,46,0,42,51,8,"no"
47,2,84,0,46,0,36,37,0,"no"
37,0,76,4,26,0,39,50,12,"no"
41,3,81,0,42,2,40,40,0,"no"
42,-1,85,0,42,0,43,44,2,"no"
49,0,77,4,50,4,28,28,0,"no"
55,-5,91,0,56,24,35,34,0,"no"
48,-2,86,0,46,-1,38,40,2,"no"
55,-2,81,0,-10,-2,26,92,66,"no"
